Nome Cidade,UF,Latitude,Longitude,DDD,Fuso
Abadia de Goiás,GO,-16.7573,-49.4412,62,America/Sao_Paulo
Abadia dos Dourados,MG,-18.4831,-47.3916,34,America/Sao_Paulo
Abadiânia,GO,-16.197,-48.7057,62,America/Sao_Paulo
Abaeté,MG,-19.1551,-45.4444,37,America/Sao_Paulo
Abaetetuba,PA,-1.72183,-48.8788,91,America/Sao_Paulo
Abaiara,CE,-7.34588,-39.0416,88,America/Sao_Paulo
Abaíra,BA,-13.2488,-41.6619,77,America/Sao_Paulo
Abaré,BA,-8.72073,-39.1162,75,America/Sao_Paulo
Abatiá,PR,-23.3049,-50.3133,43,America/Sao_Paulo
Abdon Batista,SC,-27.6126,-51.0233,49,America/Sao_Paulo
Abel Figueiredo,PA,-4.95333,-48.3933,94,America/Sao_Paulo
Abelardo Luz,SC,-26.5716,-52.3229,49,America/Sao_Paulo
Abre Campo,MG,-20.2996,-42.4743,31,America/Sao_Paulo
Abreu e Lima,PE,-7.90072,-34.8984,81,America/Sao_Paulo
Abreulândia,TO,-9.62101,-49.1518,63,America/Sao_Paulo
Acaiaca,MG,-20.359,-43.1439,31,America/Sao_Paulo
Açailândia,MA,-4.94714,-47.5004,99,America/Sao_Paulo
Acajutiba,BA,-11.6575,-38.0197,75,America/Sao_Paulo
Acará,PA,-1.95383,-48.1985,91,America/Sao_Paulo
Acarape,CE,-4.22083,-38.7055,85,America/Sao_Paulo
Acaraú,CE,-2.88769,-40.1183,88,America/Sao_Paulo
Acari,RN,-6.4282,-36.6347,84,America/Sao_Paulo
Acauã,PI,-8.21954,-41.0831,89,America/Sao_Paulo
Aceguá,RS,-31.8665,-54.1615,53,America/Sao_Paulo
Acopiara,CE,-6.08911,-39.448,88,America/Sao_Paulo
Acorizal,MT,-15.194,-56.3632,65,America/Porto_Velho
Acrelândia,AC,-9.82581,-66.8972,68,America/Rio_Branco
Acreúna,GO,-17.396,-50.3749,64,America/Sao_Paulo
Açu,RN,-5.58362,-36.914,84,America/Sao_Paulo
Açucena,MG,-19.0671,-42.5419,33,America/Sao_Paulo
Adamantina,SP,-21.682,-51.0737,18,America/Sao_Paulo
Adelândia,GO,-16.4127,-50.1657,64,America/Sao_Paulo
Adolfo,SP,-21.2325,-49.6451,17,America/Sao_Paulo
Adrianópolis,PR,-24.6606,-48.9922,41,America/Sao_Paulo
Adustina,BA,-10.5437,-38.1113,75,America/Sao_Paulo
Afogados da Ingazeira,PE,-7.74312,-37.631,87,America/Sao_Paulo
Afonso Bezerra,RN,-5.49229,-36.5075,84,America/Sao_Paulo
Afonso Cláudio,ES,-20.0778,-41.1261,27,America/Sao_Paulo
Afonso Cunha,MA,-4.13631,-43.3275,98,America/Sao_Paulo
Afrânio,PE,-8.51136,-41.0095,87,America/Sao_Paulo
Afuá,PA,-0.154874,-50.3861,91,America/Sao_Paulo
Agrestina,PE,-8.45966,-35.9447,81,America/Sao_Paulo
Agricolândia,PI,-5.79676,-42.6664,86,America/Sao_Paulo
Agrolândia,SC,-27.4087,-49.822,47,America/Sao_Paulo
Agronômica,SC,-27.2662,-49.708,47,America/Sao_Paulo
Água Azul do Norte,PA,-6.79053,-50.4791,94,America/Sao_Paulo
Água Boa,MG,-17.9914,-42.3806,33,America/Sao_Paulo
Água Boa,MT,-14.051,-52.1601,66,America/Porto_Velho
Água Branca,PI,-5.88856,-42.637,86,America/Sao_Paulo
Água Branca,PB,-7.51144,-37.6357,83,America/Sao_Paulo
Água Branca,AL,-9.262,-37.938,82,America/Sao_Paulo
Água Clara,MS,-20.4452,-52.879,67,America/Porto_Velho
Água Comprida,MG,-20.0576,-48.1069,34,America/Sao_Paulo
Água Doce,SC,-26.9985,-51.5528,49,America/Sao_Paulo
Água Doce do Maranhão,MA,-2.84048,-42.1189,98,America/Sao_Paulo
Água Doce do Norte,ES,-18.5482,-40.9854,27,America/Sao_Paulo
Água Fria,BA,-11.8618,-38.7639,75,America/Sao_Paulo
Água Fria de Goiás,GO,-14.9778,-47.7823,62,America/Sao_Paulo
Água Limpa,GO,-18.0771,-48.7603,64,America/Sao_Paulo
Água Nova,RN,-6.20351,-38.2941,84,America/Sao_Paulo
Água Preta,PE,-8.70609,-35.5263,81,America/Sao_Paulo
Água Santa,RS,-28.1672,-52.031,54,America/Sao_Paulo
Aguaí,SP,-22.0572,-46.9735,19,America/Sao_Paulo
Aguanil,MG,-20.9439,-45.3915,35,America/Sao_Paulo
Águas Belas,PE,-9.11125,-37.1226,87,America/Sao_Paulo
Águas da Prata,SP,-21.9319,-46.7176,19,America/Sao_Paulo
Águas de Chapecó,SC,-27.0754,-52.9808,49,America/Sao_Paulo
Águas de Lindóia,SP,-22.4733,-46.6314,19,America/Sao_Paulo
Águas de Santa Bárbara,SP,-22.8812,-49.2421,14,America/Sao_Paulo
Águas de São Pedro,SP,-22.5977,-47.8734,19,America/Sao_Paulo
Águas Formosas,MG,-17.0802,-40.9384,33,America/Sao_Paulo
Águas Frias,SC,-26.8794,-52.8568,49,America/Sao_Paulo
Águas Lindas de Goiás,GO,-15.7617,-48.2816,61,America/Sao_Paulo
Águas Mornas,SC,-27.6963,-48.8243,48,America/Sao_Paulo
Águas Vermelhas,MG,-15.7431,-41.4571,33,America/Sao_Paulo
Agudo,RS,-29.6447,-53.2515,55,America/Sao_Paulo
Agudos,SP,-22.4694,-48.9863,14,America/Sao_Paulo
Agudos do Sul,PR,-25.9899,-49.3343,41,America/Sao_Paulo
Águia Branca,ES,-18.9846,-40.7437,27,America/Sao_Paulo
Aguiar,PB,-7.0918,-38.1681,83,America/Sao_Paulo
Aguiarnópolis,TO,-6.55409,-47.4702,63,America/Sao_Paulo
Aimorés,MG,-19.5007,-41.0746,33,America/Sao_Paulo
Aiquara,BA,-14.1269,-39.8937,73,America/Sao_Paulo
Aiuaba,CE,-6.57122,-40.1178,88,America/Sao_Paulo
Aiuruoca,MG,-21.9736,-44.6042,35,America/Sao_Paulo
Ajuricaba,RS,-28.2342,-53.7757,55,America/Sao_Paulo
Alagoa,MG,-22.171,-44.6413,35,America/Sao_Paulo
Alagoa Grande,PB,-7.03943,-35.6206,83,America/Sao_Paulo
Alagoa Nova,PB,-7.05377,-35.7591,83,America/Sao_Paulo
Alagoinha,PB,-6.94657,-35.5332,83,America/Sao_Paulo
Alagoinha,PE,-8.4665,-36.7788,87,America/Sao_Paulo
Alagoinha do Piauí,PI,-7.00039,-40.9282,89,America/Sao_Paulo
Alagoinhas,BA,-12.1335,-38.4208,75,America/Sao_Paulo
Alambari,SP,-23.5503,-47.898,15,America/Sao_Paulo
Albertina,MG,-22.2018,-46.6139,35,America/Sao_Paulo
Alcântara,MA,-2.39574,-44.4062,98,America/Sao_Paulo
Alcântaras,CE,-3.58537,-40.5479,88,America/Sao_Paulo
Alcantil,PB,-7.73668,-36.0511,83,America/Sao_Paulo
Alcinópolis,MS,-18.3255,-53.7042,67,America/Porto_Velho
Alcobaça,BA,-17.5195,-39.2036,73,America/Sao_Paulo
Aldeias Altas,MA,-4.62621,-43.4689,99,America/Sao_Paulo
Alecrim,RS,-27.6579,-54.7649,55,America/Sao_Paulo
Alegre,ES,-20.758,-41.5382,28,America/Sao_Paulo
Alegrete,RS,-29.7902,-55.7949,55,America/Sao_Paulo
Alegrete do Piauí,PI,-7.24196,-40.8566,89,America/Sao_Paulo
Alegria,RS,-27.8345,-54.0557,55,America/Sao_Paulo
Além Paraíba,MG,-21.8797,-42.7176,32,America/Sao_Paulo
Alenquer,PA,-1.94623,-54.7384,93,America/Sao_Paulo
Alexandria,RN,-6.40533,-38.0142,84,America/Sao_Paulo
Alexânia,GO,-16.0834,-48.5076,62,America/Sao_Paulo
Alfenas,MG,-21.4256,-45.9477,35,America/Sao_Paulo
Alfredo Chaves,ES,-20.6396,-40.7543,27,America/Sao_Paulo
Alfredo Marcondes,SP,-21.9527,-51.414,18,America/Sao_Paulo
Alfredo Vasconcelos,MG,-21.1535,-43.7718,32,America/Sao_Paulo
Alfredo Wagner,SC,-27.7001,-49.3273,48,America/Sao_Paulo
Algodão de Jandaíra,PB,-6.89292,-36.0129,83,America/Sao_Paulo
Alhandra,PB,-7.42977,-34.9057,83,America/Sao_Paulo
Aliança,PE,-7.60398,-35.2227,81,America/Sao_Paulo
Aliança do Tocantins,TO,-11.3056,-48.9361,63,America/Sao_Paulo
Almadina,BA,-14.7089,-39.6415,73,America/Sao_Paulo
Almas,TO,-11.5706,-47.1792,63,America/Sao_Paulo
Almeirim,PA,-1.52904,-52.5788,93,America/Sao_Paulo
Almenara,MG,-16.1785,-40.6942,33,America/Sao_Paulo
Almino Afonso,RN,-6.1475,-37.7636,84,America/Sao_Paulo
Almirante Tamandaré,PR,-25.3188,-49.3037,41,America/Sao_Paulo
Almirante Tamandaré do Sul,RS,-28.1149,-52.9142,54,America/Sao_Paulo
Aloândia,GO,-17.7292,-49.4769,64,America/Sao_Paulo
Alpercata,MG,-18.974,-41.97,33,America/Sao_Paulo
Alpestre,RS,-27.2502,-53.0341,55,America/Sao_Paulo
Alpinópolis,MG,-20.8631,-46.3878,35,America/Sao_Paulo
Alta Floresta,MT,-9.86674,-56.0867,66,America/Porto_Velho
Alta Floresta D'Oeste,RO,-11.9283,-61.9953,69,America/Porto_Velho
Altair,SP,-20.5242,-49.0571,17,America/Sao_Paulo
Altamira,PA,-3.20407,-52.21,93,America/Sao_Paulo
Altamira do Maranhão,MA,-4.16598,-45.4706,98,America/Sao_Paulo
Altamira do Paraná,PR,-24.7983,-52.7128,44,America/Sao_Paulo
Altaneira,CE,-6.99837,-39.7356,88,America/Sao_Paulo
Alterosa,MG,-21.2488,-46.1387,35,America/Sao_Paulo
Altinho,PE,-8.48482,-36.0644,81,America/Sao_Paulo
Altinópolis,SP,-21.0214,-47.3712,16,America/Sao_Paulo
Alto Alegre,SP,-21.5811,-50.168,18,America/Sao_Paulo
Alto Alegre,RR,2.98858,-61.3072,95,America/Porto_Velho
Alto Alegre,RS,-28.7769,-52.9893,54,America/Sao_Paulo
